type;trans_id;local_time;order_num;order_start_time;order_stop_time;delta_time;Stock;date
send_order;111424;111424;31507641040;185.891;185.846;0.044999999999987;FR;20220603
kill_order;111424;111424;31507641040;185.922;185.894;0.027999999999992;FR;20220603
send_order;111424;111424;31507641148;186.162;186.156;0.0060000000000002;FR;20220603
kill_order;111424;111424;31507641148;186.188;186.164;0.024000000000001;FR;20220603
send_order;111425;111425;31507641337;186.5;186.469;0.031000000000006;FR;20220603
kill_order;111425;111425;31507641337;186.515;186.502;0.012999999999977;FR;20220603
send_order;111425;111425;31507641499;186.797;186.781;0.015999999999991;FR;20220603
kill_order;111425;111425;31507641499;186.803;186.798;0.0049999999999955;FR;20220603
send_order;111425;111425;31507641644;187.109;187.093;0.01600000000002;FR;20220603
kill_order;111425;111425;31507641644;187.125;187.111;0.01400000000001;FR;20220603
send_order;111426;111426;31507641795;187.412;187.406;0.0060000000000002;FR;20220603
kill_order;111426;111426;31507641795;187.437;187.414;0.023000000000025;FR;20220603
send_order;111426;111426;31507641934;187.724;187.718;0.0060000000000002;FR;20220603
kill_order;111426;111426;31507641934;187.75;187.726;0.024000000000001;FR;20220603
send_order;111426;111426;31507642171;188.046;188.031;0.014999999999986;FR;20220603
kill_order;111426;111426;31507642171;188.062;188.048;0.01400000000001;FR;20220603
send_order;111427;111427;31507642371;188.359;188.343;0.01600000000002;FR;20220603
kill_order;111427;111427;31507642371;188.365;188.36;0.0049999999999955;FR;20220603
send_order;111427;111427;31507642490;188.671;188.656;0.014999999999986;FR;20220603
kill_order;111427;111427;31507642490;188.687;188.673;0.01400000000001;FR;20220603
send_order;111427;111427;31507642630;188.974;188.968;0.0060000000000002;FR;20220603
kill_order;111427;111427;31507642630;188.999;188.976;0.022999999999996;FR;20220603
send_order;111428;111428;31507642737;189.296;189.281;0.014999999999986;FR;20220603
kill_order;111428;111428;31507642737;189.302;189.298;0.0039999999999907;FR;20220603
send_order;111428;111428;31507642875;189.609;189.593;0.01600000000002;FR;20220603
kill_order;111428;111428;31507642875;189.615;189.61;0.0049999999999955;FR;20220603
send_order;111428;111428;31507643033;189.921;189.905;0.015999999999991;FR;20220603
kill_order;111428;111428;31507643033;189.927;189.923;0.0039999999999907;FR;20220603
send_order;111428;111428;31507643146;190.224;190.218;0.0060000000000002;FR;20220603
kill_order;111428;111428;31507643146;190.249;190.226;0.022999999999996;FR;20220603
send_order;111429;111429;31507643335;190.536;190.53;0.0060000000000002;FR;20220603
kill_order;111429;111429;31507643335;190.562;190.538;0.024000000000001;FR;20220603
send_order;111429;111429;31507643486;190.858;190.843;0.015000000000015;FR;20220603
kill_order;111429;111429;31507643486;190.865;190.86;0.0049999999999955;FR;20220603
send_order;111429;111429;31507643620;191.171;191.155;0.015999999999991;FR;20220603
kill_order;111429;111429;31507643620;191.178;191.173;0.0049999999999955;FR;20220603
send_order;111430;111430;31507643767;191.483;191.468;0.015000000000015;FR;20220603
kill_order;111430;111430;31507643767;191.49;191.485;0.0049999999999955;FR;20220603
send_order;111430;111430;31507643856;191.796;191.78;0.015999999999991;FR;20220603
kill_order;111430;111430;31507643856;191.803;191.798;0.0049999999999955;FR;20220603
send_order;111430;111430;31507643969;192.108;192.093;0.015000000000015;FR;20220603
kill_order;111430;111430;31507643969;192.115;192.11;0.0049999999999955;FR;20220603
send_order;111431;111431;31507644095;192.421;192.405;0.015999999999991;FR;20220603
kill_order;111431;111431;31507644095;192.427;192.423;0.0039999999999907;FR;20220603
send_order;111431;111431;31507644256;192.724;192.718;0.0060000000000002;FR;20220603
kill_order;111431;111431;31507644256;192.749;192.725;0.024000000000001;FR;20220603
send_order;111431;111431;31507644402;193.046;193.03;0.015999999999991;FR;20220603
kill_order;111431;111431;31507644402;193.061;193.047;0.01400000000001;FR;20220603
send_order;111432;111432;31507644566;193.358;193.343;0.015000000000015;FR;20220603
kill_order;111432;111432;31507644566;193.365;193.36;0.0049999999999955;FR;20220603
send_order;111432;111432;31507644710;193.686;193.655;0.031000000000006;FR;20220603
kill_order;111432;111432;31507644710;193.702;193.688;0.01400000000001;FR;20220603
send_order;111432;111432;31507644869;193.983;193.967;0.015999999999991;FR;20220603
kill_order;111432;111432;31507644869;193.989;193.985;0.0039999999999907;FR;20220603
send_order;111433;111433;31507644999;194.296;194.28;0.015999999999991;FR;20220603
kill_order;111433;111433;31507644999;194.302;194.297;0.0049999999999955;FR;20220603
send_order;111433;111433;31507645143;194.608;194.592;0.015999999999991;FR;20220603
kill_order;111433;111433;31507645143;194.614;194.61;0.0039999999999907;FR;20220603
send_order;111433;111433;31507645359;194.911;194.905;0.0060000000000002;FR;20220603
kill_order;111433;111433;31507645359;194.936;194.913;0.022999999999996;FR;20220603
send_order;111433;111433;31507645442;195.224;195.217;0.0069999999999766;FR;20220603
kill_order;111433;111433;31507645442;195.248;195.226;0.021999999999991;FR;20220603
send_order;111434;111434;31507645569;195.545;195.53;0.014999999999986;FR;20220603
kill_order;111434;111434;31507645569;195.552;195.547;0.0049999999999955;FR;20220603
send_order;111435;111434;31507645711;195.858;195.842;0.015999999999991;FR;20220603
kill_order;111435;111434;31507645711;195.864;195.859;0.0049999999999955;FR;20220603
send_order;111435;111434;31507645828;196.161;196.154;0.007000000000005;FR;20220603
kill_order;111435;111434;31507645828;196.186;196.162;0.024000000000001;FR;20220603
send_order;111435;111435;31507645995;196.473;196.467;0.0060000000000002;FR;20220603
kill_order;111435;111435;31507645995;196.498;196.475;0.022999999999996;FR;20220603
send_order;111435;111435;31507646078;196.795;196.779;0.015999999999991;FR;20220603
kill_order;111435;111435;31507646078;196.811;196.797;0.01400000000001;FR;20220603
send_order;111435;111435;31507646213;197.107;197.092;0.014999999999986;FR;20220603
kill_order;111435;111435;31507646213;197.123;197.109;0.013999999999982;FR;20220603
send_order;111436;111436;31507646349;197.411;197.404;0.007000000000005;FR;20220603
kill_order;111436;111436;31507646349;197.436;197.413;0.022999999999996;FR;20220603
send_order;111436;111436;31507646416;197.723;197.717;0.0060000000000002;FR;20220603
kill_order;111436;111436;31507646416;197.748;197.725;0.022999999999996;FR;20220603
send_order;111436;111436;31507646617;198.045;198.029;0.015999999999991;FR;20220603
kill_order;111436;111436;31507646617;198.061;198.046;0.015000000000015;FR;20220603
send_order;111437;111437;31507646744;198.348;198.342;0.0060000000000002;FR;20220603
kill_order;111437;111437;31507646744;198.373;198.35;0.022999999999996;FR;20220603
send_order;111437;111437;31507646883;198.67;198.654;0.015999999999991;FR;20220603
kill_order;111437;111437;31507646883;198.701;198.671;0.030000000000001;FR;20220603
send_order;111437;111437;31507647064;198.982;198.967;0.014999999999986;FR;20220603
kill_order;111437;111437;31507647064;198.988;198.984;0.0039999999999907;FR;20220603
send_order;111438;111438;31507647190;199.285;199.279;0.0060000000000002;FR;20220603
kill_order;111438;111438;31507647190;199.31;199.287;0.022999999999996;FR;20220603
send_order;111438;111438;31507647344;199.607;199.591;0.015999999999991;FR;20220603
kill_order;111438;111438;31507647344;199.623;199.609;0.013999999999982;FR;20220603
send_order;111438;111438;31507647509;199.919;199.904;0.015000000000015;FR;20220603
kill_order;111438;111438;31507647509;199.926;199.921;0.0049999999999955;FR;20220603
send_order;111438;111438;31507647611;200.222;200.216;0.0060000000000002;FR;20220603
kill_order;111438;111438;31507647611;200.247;200.224;0.023000000000025;FR;20220603
send_order;111439;111439;31507647754;200.544;200.529;0.015000000000015;FR;20220603
kill_order;111439;111439;31507647754;200.551;200.546;0.0049999999999955;FR;20220603
send_order;111439;111439;31507647853;200.857;200.841;0.015999999999991;FR;20220603
